 '3145728', '524288', '0x9913403F999A3238DD497AA148C1C7D8817D7E8BA8A1739D9D2CF5CF3464D52B', '0xC4C6A7CB16C049296D348BE8927F53BDDBEF8603A63D5D08C3F36DA0FF6B7871', '0x0000000000000000000000000000000000000000000000000000000000000000'
 '3145734', '524289', '0x9913403F999A3238DD497AA148C1C7D8817D7E8BA8A1739D9D2CF5CF3464D52B', '0xC4C6A7CB16C049296D348BE8927F53BDDBEF8603A63D5D08C3F36DA0FF6B7871', '0x0000000000000000000000000000000000000000000000000000000000000000'
 '3145740', '524290', '0xF57E8DFCAC4254AA53479CBD2B6FDABF6F86B340C77BE87DE2F0716EA4D51CC7', '0x113E4199258AF454AB642D22FB6960D6822054ED1970E1DC9BD71099FAB11A94', '0x9913403F999A3238DD497AA148C1C7D8817D7E8BA8A1739D9D2CF5CF3464D52B'
 '3145746', '524291', '0x9CFC52E3A8FC5E102FA1A070EB603DE9D9E3D180FC0A21F7D5E41D32EB8866E8', '0x681C1D391F2FB4134240224E0A67FEFB149E47B62BE945ECBEF274C5F37D4DC1', '0xF57E8DFCAC4254AA53479CBD2B6FDABF6F86B340C77BE87DE2F0716EA4D51CC7'
 '3145752', '524292', '0x30C64C4BB87D396690E1C14668AD357851293FEF67DB6785731C787CDA8B97AE', '0xB8878CE24050A37730015E64572A94E31BB7389F658855AE14B43628F6437337', '0x9CFC52E3A8FC5E102FA1A070EB603DE9D9E3D180FC0A21F7D5E41D32EB8866E8'
 '3145758', '524293', '0x30C64C4BB87D396690E1C14668AD357851293FEF67DB6785731C787CDA8B97AE', '0xB8878CE24050A37730015E64572A94E31BB7389F658855AE14B43628F6437337', '0x9CFC52E3A8FC5E102FA1A070EB603DE9D9E3D180FC0A21F7D5E41D32EB8866E8'
 '3145764', '524294', '0x5269550E438E01F28AE600CCF1781E9802902363E021EAB037B12A5CA367A45D', '0x5D473C8A2B3928F751340CC15E80968F48CAD179D8071D04FA0940764FF51C5B', '0x30C64C4BB87D396690E1C14668AD357851293FEF67DB6785731C787CDA8B97AE'
 '3145770', '524295', '0xBC284EDEB3DDC364B50CA4FC43C1849150DA23E3E4EB688CCE758274CD05F201', '0xEF2D0C69B69A5A7EB651D9DF0DD5A66DF5027E0BFE27C602438595D053DAAC71', '0x5269550E438E01F28AE600CCF1781E9802902363E021EAB037B12A5CA367A45D'
 '3145776', '524296', '0xADD1FCC3D5BD12C91B9629BA1C58E4A52FA22A4CF33B76D87D6CD272211EA6BE', '0xA19E181FD87FFA249A4067992DA4CD66F28AA7EFDE88C7D92A64AF872B6CE3A0', '0xBC284EDEB3DDC364B50CA4FC43C1849150DA23E3E4EB688CCE758274CD05F201'
 '3145782', '524297', '0x0777DE2890CCCF0CA00D89A0007150BEE64A04785BFBF89B110B35D17EFB798A', '0x5EE6F9E53294B7CDA2DF4BD8CF57B8FC2F421AE46652AC5E17E7564115CA19D8', '0xADD1FCC3D5BD12C91B9629BA1C58E4A52FA22A4CF33B76D87D6CD272211EA6BE'
